,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,37495.0,43071.0,44958.0,48710.0,50804.0,48058.0,48725.0,52147.0,54918.0,81935.0,76242.0,86845.0,99644
Interest,23789.0,27802.0,28220.0,31343.0,34331.0,32722.0,33530.0,34656.0,36997.0,50805.0,46823.0,51817.0,61086
Expenses,10472.0,12456.0,16112.0,18760.0,27453.0,22533.0,43345.0,39645.0,25867.0,38601.0,36026.0,41502.0,43639
Financing Profit,3234.0,2812.0,626.0,-1394.0,-10980.0,-7197.0,-28151.0,-22153.0,-7946.0,-7470.0,-6607.0,-6473.0,-5081
Financing Margin %,9.0,7.0,1.0,-3.0,-22.0,-15.0,-58.0,-42.0,-14.0,-9.0,-9.0,-7.0,-5
Other Income,4240.0,4310.0,4710.0,6175.0,6100.0,9168.0,8883.0,7367.0,9388.0,12777.0,12329.0,12529.0,13512
Depreciation,302.0,336.0,367.0,384.0,413.0,430.0,581.0,584.0,614.0,982.0,896.0,905.0,0
Profit before tax,7171.0,6786.0,4969.0,4397.0,-5293.0,1540.0,-19849.0,-15370.0,827.0,4325.0,4826.0,5151.0,8430
Tax %,31.0,27.0,29.0,24.0,31.0,41.0,37.0,35.0,56.0,38.0,19.0,35.0,
Net Profit,5052.0,5020.0,3674.0,3525.0,-3510.0,1239.0,-12111.0,-9550.0,485.0,2695.0,3908.0,3359.0,5945
EPS in Rs,29.63,28.03,19.98,18.33,-18.79,5.58,-43.88,-20.79,0.65,2.45,3.51,3.04,5.36
