,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2979,2936,2940,2943,2948,2959,5922,5926,6339,6445,6765,6766,6766
Reserves,166467,179119,195747,215556,228608,260750,287584,381186,442827,693727,772720,709106,744456
Borrowings,92447,107219,138761,168251,194714,217475,239843,307714,355133,278962,319158,451664,316697
Other Liabilities,65298,73083,91395,117736,172727,225618,277924,302804,358716,340931,399979,438346,614296
Total Liabilities,327191,362357,428843,504486,598997,706802,811273,997630,1163015,1320065,1498622,1605882,1682215
Fixed Assets,138814,133487,141417,156458,184910,198526,403885,398374,532658,541258,627798,724805,924262
CWIP,25363,49952,91494,166462,228697,324837,187022,179463,109106,125953,172506,293752,161344
Investments,38596,42848,60602,76451,84015,82899,82862,235635,276767,364828,394264,235560,215456
Other Assets,124418,136070,135330,105115,101375,100540,137504,184158,244484,288026,304054,351765,381153
Total Assets,327191,362357,428843,504486,598997,706802,811273,997630,1163015,1320065,1498622,1605882,1682215
