,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,357677.0,395957.0,433521.0,374372.0,272583.0,303954.0,390823.0,568337.0,596679.0,466307.0,698672.0,876396.0,869443
Expenses,324501.0,362802.0,398586.0,336923.0,230802.0,257647.0,326508.0,484087.0,507413.0,385517.0,588077.0,734078.0,716779
Operating Profit,33176.0,33155.0,34935.0,37449.0,41781.0,46307.0,64315.0,84250.0,89266.0,80790.0,110595.0,142318.0,152664
OPM %,9.0,8.0,8.0,10.0,15.0,15.0,16.0,15.0,15.0,17.0,16.0,16.0,18
Other Income,7526.0,7757.0,8865.0,8528.0,12212.0,9222.0,9869.0,8406.0,8570.0,22432.0,17928.0,12020.0,13997
Interest,2893.0,3463.0,3836.0,3316.0,3691.0,3849.0,8052.0,16495.0,22027.0,21189.0,14584.0,19571.0,22588
Depreciation,12401.0,11232.0,11201.0,11547.0,11565.0,11646.0,16706.0,20934.0,22203.0,26572.0,29797.0,40303.0,45999
Profit before tax,25408.0,26217.0,28763.0,31114.0,38737.0,40034.0,49426.0,55227.0,53606.0,55461.0,84142.0,94464.0,98074
Tax %,22.0,20.0,22.0,24.0,23.0,25.0,27.0,28.0,26.0,3.0,19.0,22.0,
Net Profit,19717.0,20886.0,22548.0,23640.0,29861.0,29833.0,36080.0,39837.0,39880.0,53739.0,67845.0,74088.0,77269
EPS in Rs,28.26,30.31,32.62,34.14,43.03,43.11,53.39,58.55,58.2,77.5,89.74,98.59,101.25
