,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,785,785,785,785,785,785,837,939,941,943,946,947
Reserves,-332,-39,181,370,664,1568,2751,4402,5362,6810,8884,10112
Borrowings,2803,3498,4699,5928,8268,11413,13549,17573,17895,22982,31110,34083
Other Liabilities,231,491,593,797,1048,1920,3009,2393,2816,3913,4606,5247
Total Liabilities,3488,4735,6257,7880,10765,15686,20146,25307,27013,34648,45546,50388
Fixed Assets,1,1,2,2,24,242,196,311,308,439,551,519
CWIP,0,0,0,0,0,35,20,24,10,14,23,19
Investments,0,0,0,0,0,0,1,1,958,1297,2140,2536
Other Assets,3487,4734,6256,7878,10741,15409,19928,24971,25737,32898,42832,47314
Total Assets,3488,4735,6257,7880,10765,15686,20146,25307,27013,34648,45546,50388
