,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1001,1001
Reserves,1156,1736,2356,3056,3733,4552,5528,6576,7743,9400,10622,12017,12968
Borrowings,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities,46085,50978,57284,70064,78696,96687,115193,139157,156837,216430,261715,301669,338453
Total Liabilities,48240,53714,60640,74121,83429,102240,121720,146734,165580,226830,273337,314686,352422
Fixed Assets,263,283,304,292,301,507,511,563,568,564,919,867,542
CWIP,2,3,4,7,146,31,70,32,13,1,3,1,0
Investments,44778,50047,56275,69385,77843,95830,114436,139325,158813,218756,264437,303988,342174
Other Assets,3198,3382,4058,4437,5139,5871,6703,6814,6186,7509,7978,9830,9705
Total Assets,48240,53714,60640,74121,83429,102240,121720,146734,165580,226830,273337,314686,352422
