,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13760.0,14870.0,17258.0,23299.0,19324.0,30548.0,34068.0,44604.0,43798.0,81913.0,82983.0,80636.0,104812
Expenses,13331.0,14443.0,16747.0,22505.0,18404.0,29479.0,32736.0,43130.0,42447.0,81040.0,82254.0,80420.0,104543
Operating Profit,429.0,427.0,511.0,794.0,920.0,1068.0,1332.0,1474.0,1351.0,872.0,730.0,216.0,269
OPM %,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,0
Other Income,214.0,292.0,344.0,183.0,129.0,139.0,156.0,266.0,529.0,867.0,1032.0,1758.0,1756
Interest,4.0,4.0,5.0,4.0,5.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,0
Depreciation,34.0,25.0,35.0,34.0,37.0,48.0,59.0,92.0,89.0,99.0,75.0,68.0,0
Profit before tax,604.0,690.0,816.0,939.0,1007.0,1154.0,1422.0,1642.0,1790.0,1640.0,1687.0,1906.0,2025
Tax %,8.0,9.0,11.0,13.0,16.0,17.0,19.0,19.0,21.0,11.0,11.0,10.0,
Net Profit,556.0,630.0,728.0,815.0,844.0,955.0,1150.0,1327.0,1422.0,1456.0,1506.0,1721.0,1842
EPS in Rs,5.56,6.3,7.28,8.15,8.44,9.55,11.5,13.27,14.22,14.56,15.05,17.19,18.41
