,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,39,59,88,88,132,140,210,316,316,316,452,678,678
Reserves,1832,2230,2871,3236,4265,8132,9674,10647,10945,12245,20136,21774,21858
Borrowings,4602,4904,4840,5131,6069,10349,10374,11534,13136,11930,14130,13792,21750
Other Liabilities,5492,5546,7445,8971,9199,13322,16716,20257,20636,23258,21008,25086,33950
Total Liabilities,11966,12739,15244,17425,19665,31944,36974,42754,45033,47749,55726,61330,78236
Fixed Assets,4692,5277,5919,6129,7147,12193,14712,18423,20750,20099,21411,23147,27458
CWIP,446,386,647,956,1397,1935,2585,1067,852,877,1310,1478,2277
Investments,94,72,75,65,590,474,792,855,796,846,6462,6290,6331
Other Assets,6734,7005,8603,10276,10531,17343,18885,22409,22635,25926,26543,30415,42170
Total Assets,11966,12739,15244,17425,19665,31944,36974,42754,45033,47749,55726,61330,78236
