,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14767.0,25298.0,30414.0,34661.0,37216.0,42376.0,56303.0,63523.0,60729.0,57370.0,63774.0,78701.0,88680
Expenses,13954.0,23819.0,28017.0,31817.0,33668.0,38204.0,51174.0,58174.0,56075.0,53000.0,59060.0,72537.0,81268
Operating Profit,813.0,1480.0,2397.0,2844.0,3548.0,4171.0,5128.0,5348.0,4654.0,4370.0,4714.0,6164.0,7412
OPM %,6.0,6.0,8.0,8.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,8.0,8
Other Income,144.0,318.0,311.0,212.0,177.0,346.0,125.0,333.0,642.0,568.0,575.0,158.0,221
Interest,165.0,250.0,294.0,318.0,345.0,375.0,411.0,423.0,593.0,512.0,543.0,781.0,1168
Depreciation,380.0,714.0,817.0,921.0,1087.0,1059.0,1575.0,2058.0,2721.0,2926.0,2958.0,3136.0,3361
Profit before tax,412.0,834.0,1596.0,1817.0,2293.0,3083.0,3267.0,3200.0,1983.0,1500.0,1788.0,2405.0,3103
Tax %,52.0,46.0,31.0,29.0,23.0,30.0,31.0,34.0,35.0,-5.0,34.0,31.0,
Net Profit,196.0,452.0,1097.0,1292.0,1774.0,2172.0,2260.0,2098.0,1294.0,1569.0,1182.0,1670.0,2142
EPS in Rs,0.59,1.0,1.71,1.93,2.89,3.28,3.37,3.41,2.47,2.19,1.29,2.21,2.83
