,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,226,227,227,227,227,227,227,227,227,253,271,374,375
Reserves,5806,7111,8283,9039,9949,11105,13463,15736,17915,21464,25824,43138,45931
Borrowings,24137,33386,38630,46695,49790,53080,82131,87914,94735,106546,114846,164804,174438
Other Liabilities,6869,6550,5192,6193,8048,10034,1539,1542,1389,1647,1328,2256,2616
Total Liabilities,37038,47274,52332,62154,68013,74446,97360,105419,114266,129910,142268,210573,223361
Fixed Assets,54,72,155,154,152,136,122,147,489,437,418,3714,3753
CWIP,0,0,0,0,0,0,0,0,0,0,0,66,0
Investments,3666,3280,2435,3037,1340,1518,2456,4126,2936,3347,6971,7430,7917
Other Assets,33318,43922,49742,58962,66522,72791,94782,101146,110841,126126,134879,199363,211692
Total Assets,37038,47274,52332,62154,68013,74446,97360,105419,114266,129910,142268,210573,223361
