,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,6173.0,7009.0,8476.0,9177.0,10359.0,10903.0,13502.0,15536.0,16561.0,17422.0,19255.0,30492.0,32936
Interest,2560.0,3092.0,4233.0,4706.0,5088.0,5219.0,6409.0,7564.0,8313.0,9089.0,9773.0,12987.0,14033
Expenses,1644.0,1738.0,2244.0,2781.0,3447.0,3712.0,3288.0,4171.0,4683.0,4932.0,5816.0,8706.0,9199
Financing Profit,1969.0,2179.0,1999.0,1691.0,1824.0,1972.0,3805.0,3801.0,3565.0,3402.0,3666.0,8799.0,9704
Financing Margin %,32.0,31.0,24.0,18.0,18.0,18.0,28.0,24.0,22.0,20.0,19.0,29.0,29
Other Income,6.0,7.0,4.0,2.0,3.0,1.0,127.0,20.0,14.0,14.0,18.0,16.0,31
Depreciation,17.0,23.0,33.0,43.0,38.0,35.0,37.0,43.0,141.0,137.0,135.0,601.0,764
Profit before tax,1958.0,2163.0,1970.0,1650.0,1789.0,1938.0,3896.0,3778.0,3439.0,3278.0,3549.0,8214.0,8971
Tax %,33.0,32.0,31.0,38.0,34.0,35.0,35.0,32.0,27.0,24.0,24.0,27.0,
Net Profit,1309.0,1463.0,1358.0,1028.0,1184.0,1266.0,2549.0,2576.0,2512.0,2499.0,2721.0,6020.0,6594
EPS in Rs,51.85,57.84,53.65,40.63,46.76,50.01,100.71,101.77,99.26,88.52,100.59,160.54,175.44
