,2012-09-01,2013-09-01,2014-09-01,2015-09-01,2016-09-01,2017-09-01,2018-09-01,2019-09-01,2020-09-01,2021-09-01,2022-09-01,2023-09-01
Equity Capital,68,71,71,71,71,71,71,71,71,71,71,71
Reserves,3892,3959,4304,5055,6750,7634,8234,8972,9403,10272,11525,12953
Borrowings,0,0,0,0,0,0,0,0,206,196,160,152
Other Liabilities,6684,5814,5915,5401,5133,5418,5944,6167,5986,6842,7757,8327
Total Liabilities,10645,9844,10290,10528,11954,13123,14249,15210,15666,17382,19512,21504
Fixed Assets,1412,1379,1356,1361,1196,1334,1351,1190,1165,1112,1024,1022
CWIP,85,89,41,32,79,143,62,58,88,30,49,48
Investments,41,43,8,169,165,55,55,55,55,2212,2220,2220
Other Assets,9106,8333,8886,8966,10515,11591,12780,13907,14358,14028,16219,18214
Total Assets,10645,9844,10290,10528,11954,13123,14249,15210,15666,17382,19512,21504
