,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,671,684,747,747,776,797,892,892,892,892,892,892,892.0
Reserves,105559,124349,146624,160641,179816,216395,229429,233603,250168,274669,304696,358039,
Borrowings,1572681,1831126,2062612,2297624,2615257,2936176,3091258,3354289,3607061,4149127,4536570,4989687,
Other Liabilities,150720,176355,185573,240149,276472,288391,294860,299676,339364,420926,518719,605796,
Total Liabilities,1829631,2132514,2395556,2699161,3072321,3441760,3616439,3888460,4197486,4845615,5360878,5954415,
Fixed Assets,7027,8694,10223,12924,15415,51189,40301,39941,39608,41600,41032,45880,
CWIP,381,676,337,400,786,695,925,762,470,116,28,66,
Investments,460949,519343,579401,673507,807375,1027281,1183794,1119270,1228284,1595100,1776490,1913108,
Other Assets,1361274,1603801,1805595,2012329,2248746,2362594,2391419,2728487,2929123,3208798,3543328,3995361,
Total Assets,1829631,2132514,2395556,2699161,3072321,3441760,3616439,3888460,4197486,4845615,5360878,5954415,
