,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,147197.0,167976.0,189062.0,207974.0,220633.0,230447.0,228970.0,253322.0,269852.0,278115.0,289973.0,350845.0,398452
Interest,89320.0,106818.0,121479.0,133179.0,143047.0,149115.0,146603.0,155867.0,161124.0,156010.0,156194.0,189981.0,223818
Expenses,61729.0,66283.0,82198.0,96675.0,109985.0,145666.0,169034.0,166104.0,172909.0,192821.0,197349.0,204303.0,224908
Financing Profit,-3851.0,-5124.0,-14614.0,-21879.0,-32399.0,-64334.0,-86666.0,-68649.0,-64181.0,-70715.0,-63570.0,-43439.0,-50274
Financing Margin %,-3.0,-3.0,-8.0,-11.0,-15.0,-28.0,-38.0,-27.0,-24.0,-25.0,-22.0,-12.0,-13
Other Income,29692.0,32584.0,37882.0,49315.0,52828.0,68193.0,77527.0,77365.0,98159.0,107222.0,117000.0,122534.0,142209
Depreciation,1372.0,1577.0,1942.0,1581.0,2252.0,2915.0,3105.0,3496.0,3662.0,3711.0,3691.0,3696.0,0
Profit before tax,24469.0,25882.0,21326.0,25855.0,18177.0,945.0,-12245.0,5220.0,30317.0,32796.0,49739.0,75399.0,91934
Tax %,35.0,29.0,32.0,32.0,30.0,141.0,66.0,41.0,40.0,26.0,27.0,25.0,
Net Profit,15973.0,18555.0,14807.0,17832.0,13019.0,-97.0,-3749.0,3351.0,21140.0,23888.0,37183.0,57750.0,70399
EPS in Rs,22.86,26.19,18.99,22.76,15.75,0.3,-5.11,2.58,22.15,25.11,39.64,62.35,76.42
