,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,104,104,207,207,241,240,240,240,240,240,240,240,240
Reserves,12132,14886,18318,25431,32742,36400,38074,41169,45025,46223,47771,55755,59586
Borrowings,321,260,2561,8996,8497,9832,10385,10514,8315,3869,1290,6886,1928
Other Liabilities,3762,5128,8009,14089,13948,14624,15598,12666,14615,17291,20474,17831,17687
Total Liabilities,16319,20377,29095,48723,55428,61095,64297,64590,68194,67622,69776,80712,79441
Fixed Assets,3951,5647,6817,12682,15872,17675,18853,21837,22847,21553,22665,24420,27892
CWIP,345,563,842,2039,2175,2801,2465,1411,1220,1567,1287,4973,1017
Investments,2213,2412,2786,2716,1830,1192,7143,7903,10143,9612,12849,14830,12868
Other Assets,9810,11756,18650,31286,35550,39427,35837,33439,33984,34890,32975,36489,37664
Total Assets,16319,20377,29095,48723,55428,61095,64297,64590,68194,67622,69776,80712,79441
