,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1847.0,1923.0,2224.0,2395.0,2474.0,2646.0,2963.0,3783.0,3520.0,3177.0,3585.0,3772.0,4125
Expenses,433.0,514.0,716.0,718.0,1253.0,874.0,959.0,1176.0,1248.0,1111.0,1306.0,1379.0,1518
Operating Profit,1414.0,1409.0,1508.0,1678.0,1221.0,1772.0,2004.0,2607.0,2272.0,2065.0,2279.0,2393.0,2607
OPM %,77.0,73.0,68.0,70.0,49.0,67.0,68.0,69.0,65.0,65.0,64.0,63.0,63
Other Income,80.0,72.0,87.0,99.0,677.0,181.0,165.0,242.0,260.0,306.0,256.0,380.0,425
Interest,6.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,13.0,27.0,33.0,9.0,9
Depreciation,474.0,442.0,478.0,615.0,497.0,400.0,450.0,663.0,700.0,404.0,306.0,486.0,502
Profit before tax,1014.0,1035.0,1113.0,1159.0,1399.0,1551.0,1718.0,2185.0,1819.0,1941.0,2195.0,2278.0,2522
Tax %,33.0,32.0,33.0,32.0,34.0,34.0,34.0,34.0,24.0,21.0,25.0,25.0,
Net Profit,691.0,712.0,757.0,796.0,922.0,1031.0,1136.0,1434.0,1385.0,1525.0,1642.0,1707.0,1862
EPS in Rs,17.58,18.01,18.98,19.84,23.39,26.14,28.8,36.37,35.15,38.7,41.66,43.3,47.24
