,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,48,48,48,48,48,48,48,48,48,48,48,48,48
Reserves,675,851,1113,1277,1771,2169,2630,3123,3235,3779,4352,5457,6273
Borrowings,1304,1068,728,1119,1091,1311,6928,9298,11591,12179,15827,22376,12853
Other Liabilities,1290,1415,1743,2126,2236,2601,3586,4228,4399,5859,6692,7144,21296
Total Liabilities,3317,3381,3632,4570,5146,6128,13190,16696,19272,21865,26919,35025,40469
Fixed Assets,1472,1593,1517,1637,2038,2362,3094,3367,3811,4221,5975,5748,6347
CWIP,186,36,48,93,47,64,313,745,1006,1041,552,743,314
Investments,318,348,439,539,943,1155,421,440,371,468,605,967,1048
Other Assets,1340,1404,1628,2301,2118,2547,9362,12145,14085,16135,19788,27566,32760
Total Assets,3317,3381,3632,4570,5146,6128,13190,16696,19272,21865,26919,35025,40469
