,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7435.0,7510.0,8384.0,10256.0,11377.0,12463.0,16340.0,20160.0,18849.0,19421.0,24355.0,31974.0,35086
Expenses,6977.0,7072.0,7892.0,9650.0,10558.0,11591.0,14769.0,17997.0,16585.0,17189.0,21601.0,27947.0,30476
Operating Profit,459.0,438.0,492.0,605.0,819.0,871.0,1571.0,2163.0,2264.0,2232.0,2755.0,4027.0,4609
OPM %,6.0,6.0,6.0,6.0,7.0,7.0,10.0,11.0,12.0,11.0,11.0,13.0,13
Other Income,15.0,130.0,44.0,80.0,93.0,163.0,71.0,25.0,12.0,36.0,-5.0,136.0,213
Interest,88.0,103.0,80.0,62.0,70.0,60.0,338.0,663.0,855.0,881.0,940.0,1368.0,1658
Depreciation,158.0,176.0,149.0,179.0,262.0,317.0,374.0,442.0,556.0,565.0,743.0,859.0,912
Profit before tax,227.0,290.0,307.0,444.0,580.0,658.0,931.0,1083.0,865.0,822.0,1067.0,1936.0,2253
Tax %,42.0,32.0,39.0,28.0,26.0,23.0,29.0,33.0,25.0,26.0,31.0,32.0,
Net Profit,132.0,198.0,187.0,328.0,429.0,509.0,665.0,725.0,647.0,608.0,731.0,1309.0,1497
EPS in Rs,2.79,4.16,3.92,6.91,9.03,10.76,13.73,14.83,13.15,12.51,15.93,27.97,30.67
