,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,196,196,196,196,197,197,191,375,375,370,366,366,366.0
Reserves,29284,38350,48999,50439,70875,86017,84937,89071,83751,86063,88773,90058,100315.0
Preference Capital,100,100,0,0,0,0,0,0,0,0,0,0,
Borrowings,127,232,297,358,245,289,247,62,8174,7795,7818,7688,7764.0
Other Liabilities,11551,13154,17337,22325,16974,15830,19751,24393,27820,35764,43967,44747,46495.0
Total Liabilities,41157,51932,66829,73318,88291,102333,105126,113901,120120,129992,140924,142859,154940.0
Fixed Assets,8662,9828,9544,11638,11774,11701,11973,12290,20928,21021,21298,20515,19568.0
CWIP,1446,1895,3168,2766,1670,1541,1278,963,906,926,1205,1234,1408.0
Investments,1350,1897,3434,1662,22822,41980,36008,29330,26356,29373,30485,37163,44083.0
Other Assets,29698,38312,50682,57252,52025,47111,55867,71318,71930,78672,87936,83947,89881.0
Total Assets,41157,51932,66829,73318,88291,102333,105126,113901,120120,129992,140924,142859,154940.0
