,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,48894.0,62989.0,81809.0,94648.0,108646.0,117966.0,123104.0,146463.0,156949.0,164177.0,191754.0,225458.0,236464
Expenses,34459.0,44950.0,56657.0,70167.0,77969.0,85655.0,90588.0,106957.0,114840.0,117631.0,138697.0,166199.0,174393
Operating Profit,14435.0,18040.0,25153.0,24482.0,30677.0,32311.0,32516.0,39506.0,42109.0,46546.0,53057.0,59259.0,62071
OPM %,30.0,29.0,31.0,26.0,28.0,27.0,26.0,27.0,27.0,28.0,28.0,26.0,26
Other Income,428.0,1178.0,1637.0,3720.0,3084.0,4221.0,3642.0,4311.0,4592.0,1916.0,4018.0,3449.0,4098
Interest,22.0,48.0,39.0,104.0,33.0,32.0,52.0,198.0,924.0,637.0,784.0,779.0,754
Depreciation,918.0,1080.0,1349.0,1799.0,1888.0,1987.0,2014.0,2056.0,3529.0,4065.0,4604.0,5022.0,5061
Profit before tax,13923.0,18090.0,25402.0,26298.0,31840.0,34513.0,34092.0,41563.0,42248.0,43760.0,51687.0,56907.0,60354
Tax %,24.0,22.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,26.0,26.0,26.0,
Net Profit,10523.0,14076.0,19332.0,20060.0,24338.0,26357.0,25880.0,31562.0,32447.0,32562.0,38449.0,42303.0,44819
EPS in Rs,26.6,35.55,48.92,50.68,61.58,66.71,67.46,83.87,86.19,87.67,104.75,115.19,122.03
