,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,62,62,62,62,63,63,63,63,92,92,92,93,93
Reserves,4504,4748,5787,5431,6184,6202,6968,7269,13723,14442,15050,16184,16061
Borrowings,916,1389,1438,1324,1354,787,1068,1141,1586,1634,1412,1600,1511
Other Liabilities,2797,2595,2625,2641,2294,2499,2362,2408,3072,4050,4521,4886,4526
Total Liabilities,8279,8794,9911,9458,9895,9551,10461,10881,18473,20218,21075,22762,22191
Fixed Assets,4244,4434,5181,4922,4662,4573,4798,4913,11656,12023,12599,13070,13193
CWIP,49,91,60,47,39,63,135,424,95,113,247,295,216
Investments,567,578,611,622,1366,1451,1161,1188,1323,806,797,1433,1217
Other Assets,3420,3691,4060,3867,3828,3465,4366,4355,5399,7276,7431,7965,7566
Total Assets,8279,8794,9911,9458,9895,9551,10461,10881,18473,20218,21075,22762,22191
