,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6640.0,7351.0,7738.0,7993.0,6637.0,6780.0,6815.0,7252.0,9637.0,11602.0,12425.0,13783.0,14568
Expenses,6017.0,6581.0,6986.0,7201.0,6271.0,5988.0,5976.0,6466.0,8345.0,10058.0,10707.0,11927.0,12521
Operating Profit,623.0,770.0,752.0,792.0,366.0,791.0,839.0,786.0,1292.0,1544.0,1719.0,1856.0,2047
OPM %,9.0,10.0,10.0,10.0,6.0,12.0,12.0,11.0,13.0,13.0,14.0,13.0,14
Other Income,117.0,56.0,170.0,-77.0,38.0,88.0,73.0,124.0,-163.0,91.0,88.0,328.0,304
Interest,70.0,84.0,87.0,82.0,117.0,92.0,43.0,52.0,78.0,69.0,73.0,87.0,105
Depreciation,96.0,105.0,129.0,133.0,117.0,126.0,116.0,123.0,242.0,255.0,278.0,304.0,334
Profit before tax,574.0,637.0,707.0,500.0,170.0,662.0,753.0,735.0,809.0,1311.0,1456.0,1794.0,1913
Tax %,25.0,26.0,26.0,43.0,118.0,30.0,25.0,36.0,34.0,24.0,26.0,25.0,
Net Profit,417.0,445.0,510.0,273.0,-37.0,455.0,556.0,457.0,460.0,930.0,1015.0,1320.0,1356
EPS in Rs,5.76,6.03,7.77,4.01,-0.09,6.17,7.85,6.47,4.99,9.3,10.15,12.96,13.73
