,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,31,31,31,31,31,31,62,62,62,62,62,62,62
Reserves,158,161,204,252,355,527,676,880,1028,1290,1539,2023,2034
Borrowings,34,59,0,0,0,0,0,0,58,73,138,185,237
Other Liabilities,107,106,152,182,214,158,207,201,241,291,430,493,479
Total Liabilities,330,356,387,465,600,715,945,1143,1389,1717,2169,2764,2813
Fixed Assets,100,99,97,98,107,108,94,101,147,170,272,334,384
CWIP,10,21,13,3,2,1,2,0,1,7,22,7,10
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,219,236,277,364,491,607,848,1042,1241,1540,1876,2423,2419
Total Assets,330,356,387,465,600,715,945,1143,1389,1717,2169,2764,2813
