,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,514.0,605.0,772.0,849.0,1075.0,1237.0,1386.0,1597.0,1610.0,1826.0,2471.0,3145.0,3388
Expenses,447.0,535.0,635.0,672.0,827.0,964.0,1039.0,1181.0,1266.0,1303.0,1704.0,2182.0,2376
Operating Profit,68.0,70.0,137.0,177.0,248.0,274.0,347.0,416.0,344.0,524.0,767.0,962.0,1012
OPM %,13.0,12.0,18.0,21.0,23.0,22.0,25.0,26.0,21.0,29.0,31.0,31.0,30
Other Income,6.0,-10.0,16.0,4.0,12.0,18.0,43.0,43.0,58.0,40.0,45.0,74.0,98
Interest,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,10.0,17.0,18
Depreciation,21.0,24.0,35.0,25.0,23.0,27.0,25.0,25.0,43.0,44.0,55.0,81.0,89
Profit before tax,50.0,32.0,115.0,156.0,236.0,264.0,364.0,433.0,352.0,512.0,745.0,938.0,1002
Tax %,33.0,34.0,35.0,34.0,34.0,34.0,34.0,33.0,27.0,28.0,26.0,19.0,
Net Profit,34.0,21.0,75.0,103.0,155.0,175.0,240.0,290.0,256.0,368.0,550.0,755.0,785
EPS in Rs,5.45,3.37,12.06,16.52,24.85,28.05,38.54,46.56,41.12,59.11,88.26,121.26,126.06
