,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,635,638,644,644,679,679,679,679,720,766,766,766,766
Reserves,32064,36999,64960,55618,78273,57383,94749,59500,61491,54481,43795,44556,52877
Borrowings,47149,53716,60642,73610,69360,78604,88950,106175,124788,142131,146449,134113,127864
Other Liabilities,62919,76977,92180,107442,114872,135914,142813,139349,133181,144193,138051,155239,165495
Total Liabilities,142766,168330,218426,237315,263184,272580,327192,305703,320179,341570,329061,334674,347002
Fixed Assets,44360,55512,69092,88479,107232,95944,121414,111234,127107,138708,138855,132080,140145
CWIP,15946,18454,33263,28640,25919,33699,40034,31884,35622,20964,10251,14274,9091
Investments,8918,8765,10687,15337,23767,20338,20813,15771,16308,24620,29380,26379,25776
Other Assets,73542,85600,105385,104858,106266,122600,144932,146814,141141,157278,150575,161941,171990
Total Assets,142766,168330,218426,237315,263184,272580,327192,305703,320179,341570,329061,334674,347002
