,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,165654.0,188793.0,232834.0,263159.0,273046.0,269693.0,291550.0,301938.0,261068.0,249795.0,278454.0,345967.0,401785
Expenses,143439.0,164197.0,197980.0,223920.0,234650.0,240104.0,260093.0,277274.0,243081.0,217507.0,253734.0,314151.0,350866
Operating Profit,22215.0,24596.0,34853.0,39239.0,38395.0,29589.0,31458.0,24664.0,17987.0,32287.0,24720.0,31816.0,50919
OPM %,13.0,13.0,15.0,15.0,14.0,11.0,11.0,8.0,7.0,13.0,9.0,9.0,13
Other Income,-74.0,213.0,-157.0,714.0,-2670.0,1869.0,5933.0,-26686.0,102.0,-11118.0,2424.0,6328.0,4682
Interest,2982.0,3560.0,4749.0,4861.0,4889.0,4238.0,4682.0,5759.0,7243.0,8097.0,9312.0,10225.0,10585
Depreciation,5625.0,7601.0,11078.0,13389.0,16711.0,17905.0,21554.0,23591.0,21425.0,23547.0,24836.0,24860.0,26392
Profit before tax,13534.0,13647.0,18869.0,21703.0,14126.0,9315.0,11155.0,-31371.0,-10580.0,-10474.0,-7003.0,3058.0,18625
Tax %,-0.0,28.0,25.0,35.0,21.0,35.0,39.0,8.0,-4.0,-24.0,-60.0,23.0,
Net Profit,13599.0,9976.0,14050.0,14073.0,11678.0,7557.0,9091.0,-28724.0,-11975.0,-13395.0,-11309.0,2690.0,15672
EPS in Rs,47.6,34.62,48.46,48.44,40.11,25.82,31.13,-99.84,-39.08,-40.51,-34.46,7.27,46.16
