,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,237,237,237,270,270,270,270,270,270,320,320,320,320.0
Reserves,12437,12098,12164,14048,11363,12944,16129,18035,19296,22003,22122,28468,29817.0
Preference Capital,0,0,0,0,0,0,245,0,0,0,0,0,
Borrowings,33860,37882,40173,40607,38849,48815,48344,48506,51936,46708,51195,52923,52526.0
Other Liabilities,15070,17038,18810,20260,19575,20799,17148,17262,18172,29625,38913,46386,49445.0
Total Liabilities,61604,67257,71383,75185,70057,82829,81892,84073,89674,98655,112550,128096,132106.0
Fixed Assets,27653,41353,43394,44726,36414,46595,44656,44305,47666,52179,57389,61747,62689.0
CWIP,12659,2358,3389,3323,1345,2178,1653,2576,1612,3270,4635,5376,7199.0
Investments,3423,3120,3019,3445,11785,11873,12429,13542,14535,13149,14160,16670,16258.0
Other Assets,17868,20426,21582,23692,20513,22184,23154,23651,25861,30056,36365,44303,45961.0
Total Assets,61604,67257,71383,75185,70057,82829,81892,84073,89674,98655,112550,128096,132106.0
