,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,971,971,971,971,970,970,1145,1145,1145,1198,1221,1221,1221.0
Reserves,41645,33201,39561,30378,42762,36849,59726,67780,72431,73041,113222,101861,87976.0
Preference Capital,22,21,20,0,0,0,20,13,0,0,0,0,
Borrowings,59897,68507,81609,80701,81987,83014,92127,100803,116328,88501,75561,84893,89723.0
Other Liabilities,44278,44197,49463,47059,51165,51614,55724,63045,59245,81169,92417,97421,92894.0
Total Liabilities,146791,146876,171604,159109,176884,172447,208722,232773,249149,243909,282422,285396,271814.0
Fixed Assets,59287,68002,74907,68100,72200,92007,96105,124442,134551,135775,133288,146621,141929.0
CWIP,20196,14277,26822,28678,35996,15784,16614,18641,19497,19007,22046,31213,35761.0
Investments,4021,3258,5093,3455,10714,12457,17899,5738,6285,10682,13140,8410,7693.0
Other Assets,63286,61340,64781,58876,57974,52200,78103,83952,88816,78445,113948,99151,86432.0
Total Assets,146791,146876,171604,159109,176884,172447,208722,232773,249149,243909,282422,285396,271814.0
