,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,132900.0,134712.0,148614.0,139504.0,101965.0,112299.0,123249.0,157669.0,139817.0,156294.0,243959.0,243353.0,235217
Expenses,120483.0,130746.0,132430.0,136095.0,102590.0,99156.0,101816.0,128351.0,122354.0,125790.0,180469.0,211053.0,214779
Operating Profit,12417.0,3965.0,16184.0,3409.0,-625.0,13144.0,21433.0,29318.0,17463.0,30504.0,63490.0,32300.0,20437
OPM %,9.0,3.0,11.0,2.0,-1.0,12.0,17.0,19.0,12.0,20.0,26.0,13.0,9
Other Income,4935.0,1445.0,716.0,5994.0,10346.0,-3789.0,10898.0,1524.0,-2884.0,180.0,1300.0,1569.0,-4609
Interest,4250.0,3968.0,4337.0,4848.0,4221.0,5072.0,5455.0,7660.0,7533.0,7607.0,5462.0,6299.0,7346
Depreciation,4517.0,5575.0,5841.0,5944.0,5306.0,5673.0,5742.0,7342.0,8441.0,9234.0,9101.0,9335.0,9643
Profit before tax,8585.0,-4133.0,6722.0,-1388.0,193.0,-1391.0,21135.0,15841.0,-1395.0,13844.0,50227.0,18235.0,-1160
Tax %,42.0,-78.0,45.0,-185.0,358.0,-200.0,16.0,42.0,184.0,41.0,17.0,56.0,
Net Profit,5217.0,-7272.0,3665.0,-3939.0,-497.0,-4169.0,17743.0,9122.0,1174.0,8190.0,41749.0,8075.0,-6922
EPS in Rs,4.78,-6.26,3.19,-3.48,-0.34,-3.76,11.93,9.07,1.38,6.26,32.88,7.17,-4.98
