,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,128,128,234,480,436,439,442,444,436,437,439,440,441
Reserves,3923,5298,8948,11768,14155,15998,18401,19841,21377,24428,26447,27484,25971
Borrowings,1127,1380,363,700,1091,1366,2397,1996,3670,2901,2618,2740,2614
Other Liabilities,1758,2178,6394,6899,6843,8254,9192,11166,11834,11836,14911,15162,14465
Total Liabilities,6935,8984,15940,19848,22525,26057,30431,33446,37318,39602,44416,45827,43491
Fixed Assets,682,1245,2594,4033,4309,6460,7622,7061,8872,9018,14784,14932,14384
CWIP,167,34,266,568,629,373,240,276,50,118,165,120,124
Investments,3588,4099,1472,2103,1297,2396,4841,7342,5848,10238,4884,3388,2749
Other Assets,2498,3607,11607,13145,16289,16828,17728,18766,22548,20228,24583,27388,26234
Total Assets,6935,8984,15940,19848,22525,26057,30431,33446,37318,39602,44416,45827,43491
