,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5490.0,6873.0,18802.0,22621.0,26494.0,29141.0,30773.0,34742.0,36868.0,37855.0,44646.0,53290.0,53476
Expenses,4572.0,5451.0,14630.0,18428.0,22234.0,24956.0,26063.0,28471.0,31365.0,31059.0,36626.0,45527.0,47285
Operating Profit,918.0,1422.0,4172.0,4193.0,4260.0,4184.0,4710.0,6271.0,5503.0,6796.0,8020.0,7763.0,6190
OPM %,17.0,21.0,22.0,19.0,16.0,14.0,15.0,18.0,15.0,18.0,18.0,15.0,12
Other Income,30.0,-141.0,244.0,106.0,453.0,775.0,1417.0,534.0,1192.0,788.0,1115.0,965.0,1016
Interest,103.0,103.0,80.0,69.0,97.0,129.0,162.0,133.0,192.0,174.0,163.0,326.0,424
Depreciation,161.0,200.0,522.0,611.0,759.0,978.0,1085.0,1129.0,1446.0,1458.0,1520.0,1957.0,1901
Profit before tax,685.0,978.0,3815.0,3618.0,3857.0,3853.0,4879.0,5543.0,5058.0,5953.0,7452.0,6446.0,4883
Tax %,21.0,24.0,20.0,27.0,22.0,26.0,22.0,23.0,23.0,27.0,24.0,25.0,
Net Profit,1099.0,1307.0,3062.0,2659.0,3027.0,2851.0,3786.0,4289.0,3897.0,4353.0,5630.0,4857.0,3619
EPS in Rs,21.48,25.13,32.44,27.35,30.92,28.88,38.78,43.7,41.76,45.73,57.27,49.6,36.95
