,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,89,89,89,89,89,89,89,89,89,89,89,89,89
Reserves,1372,1881,2434,2995,3418,4144,5001,5981,6580,7408,9214,11762,12320
Borrowings,6,0,807,100,113,1882,1691,2393,3562,5638,7275,9367,14254
Other Liabilities,3243,3914,2781,2684,2723,2293,2740,3247,3313,3309,4610,5802,6269
Total Liabilities,4710,5884,6111,5868,6342,8408,9521,11710,13544,16444,21188,27020,32932
Fixed Assets,384,464,614,699,771,1189,1474,1567,2633,2523,2544,2998,3466
CWIP,25,42,33,55,107,152,43,32,18,32,85,144,114
Investments,2,3,3,3,30,431,36,108,158,2824,294,2515,4667
Other Assets,4299,5375,5461,5111,5434,6636,7968,10003,10735,11065,18265,21363,24685
Total Assets,4710,5884,6111,5868,6342,8408,9521,11710,13544,16444,21188,27020,32932
