,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8848.0,10123.0,10927.0,11913.0,11276.0,13261.0,16120.0,19779.0,21052.0,21644.0,28799.0,40575.0,46395
Expenses,8011.0,9109.0,9880.0,10761.0,10337.0,12097.0,14476.0,17785.0,18589.0,19919.0,25455.0,35693.0,41423
Operating Profit,838.0,1014.0,1047.0,1153.0,939.0,1164.0,1644.0,1994.0,2463.0,1725.0,3344.0,4882.0,4972
OPM %,9.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,12.0,8.0,12.0,12.0,11
Other Income,92.0,99.0,117.0,67.0,69.0,-42.0,70.0,178.0,153.0,180.0,177.0,306.0,443
Interest,44.0,51.0,87.0,81.0,42.0,38.0,53.0,53.0,166.0,203.0,218.0,300.0,424
Depreciation,46.0,56.0,68.0,90.0,98.0,111.0,131.0,163.0,348.0,375.0,399.0,441.0,504
Profit before tax,840.0,1006.0,1010.0,1049.0,868.0,973.0,1530.0,1957.0,2102.0,1327.0,2904.0,4447.0,4487
Tax %,28.0,28.0,27.0,22.0,22.0,28.0,28.0,29.0,29.0,27.0,24.0,26.0,
Net Profit,601.0,725.0,735.0,816.0,675.0,697.0,1102.0,1389.0,1493.0,974.0,2198.0,3274.0,3321
EPS in Rs,6.77,8.17,8.28,9.19,7.6,8.01,12.73,15.82,16.91,10.96,24.48,36.61,37.19
