,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,42,42,85,85,85,85,85,85,85,85,85,169,169
Reserves,1152,1380,1818,2406,3409,4266,4538,4640,4739,5753,5868,6029,6538
Borrowings,579,693,1132,2740,2352,2510,6462,6038,5784,4874,4070,5369,4487
Other Liabilities,1275,1638,1988,2589,3040,2740,3159,3351,3402,3363,2884,3043,3550
Total Liabilities,3048,3753,5022,7820,8886,9601,14243,14113,14010,14075,12906,14610,14744
Fixed Assets,797,820,875,2833,2859,3688,7855,7748,7533,7065,6423,8121,8369
CWIP,119,285,534,678,1042,519,647,617,712,889,630,765,263
Investments,124,60,186,298,780,804,492,353,2,181,226,199,277
Other Assets,2008,2587,3427,4011,4206,4589,5249,5395,5763,5940,5628,5524,5835
Total Assets,3048,3753,5022,7820,8886,9601,14243,14113,14010,14075,12906,14610,14744
