,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2691.0,3203.0,4172.0,4636.0,6687.0,5816.0,5950.0,7673.0,7939.0,8005.0,8508.0,9620.0,10233
Expenses,2189.0,2506.0,3216.0,3616.0,3954.0,4438.0,4601.0,5690.0,5769.0,5524.0,6077.0,6778.0,7166
Operating Profit,502.0,697.0,955.0,1020.0,2733.0,1377.0,1349.0,1983.0,2170.0,2480.0,2431.0,2842.0,3067
OPM %,19.0,22.0,23.0,22.0,41.0,24.0,23.0,26.0,27.0,31.0,29.0,30.0,30
Other Income,-22.0,1.0,34.0,286.0,32.0,223.0,299.0,-300.0,121.0,57.0,-288.0,45.0,59
Interest,39.0,34.0,59.0,175.0,184.0,206.0,308.0,504.0,451.0,353.0,255.0,333.0,403
Depreciation,82.0,83.0,87.0,191.0,238.0,307.0,409.0,618.0,654.0,658.0,662.0,707.0,781
Profit before tax,359.0,582.0,844.0,940.0,2343.0,1088.0,931.0,562.0,1187.0,1526.0,1226.0,1847.0,1942
Tax %,20.0,25.0,21.0,20.0,26.0,14.0,27.0,22.0,14.0,18.0,37.0,33.0,
Net Profit,286.0,435.0,664.0,751.0,1733.0,934.0,678.0,436.0,1025.0,1252.0,777.0,1245.0,1343
EPS in Rs,8.39,12.79,19.62,22.19,51.22,27.59,20.04,12.89,30.28,36.99,22.97,36.79,39.69
