,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,472,472,472,472,481,481,481,481,481,481,481,481,481
Reserves,5286,5631,5733,6083,5990,6411,7239,8490,8673,9704,9463,10529,11371
Borrowings,5414,8050,9463,9355,8515,8768,9298,9715,8908,7817,9143,10541,10685
Other Liabilities,2750,3125,3457,3722,4626,5132,5571,5865,5541,5513,5902,8320,9457
Total Liabilities,13923,17278,19126,19632,19612,20793,22589,24550,23603,23514,24988,29872,31994
Fixed Assets,7568,7758,10185,15088,15139,16804,17871,18014,17569,17326,17097,19269,20336
CWIP,3445,6163,4550,233,213,332,393,359,568,838,1297,2625,1977
Investments,258,367,866,607,511,671,873,914,724,466,407,804,1091
Other Assets,2652,2990,3525,3705,3748,2986,3453,5263,4743,4885,6187,7174,8590
Total Assets,13923,17278,19126,19632,19612,20793,22589,24550,23603,23514,24988,29872,31994
