,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7906.0,8181.0,8641.0,10348.0,11680.0,9960.0,11512.0,13151.0,13641.0,12173.0,14258.0,25694.0,26769
Expenses,5579.0,6819.0,7310.0,8246.0,8681.0,7487.0,8364.0,9934.0,10045.0,8695.0,10643.0,20906.0,21829
Operating Profit,2327.0,1362.0,1331.0,2103.0,2999.0,2472.0,3148.0,3217.0,3596.0,3477.0,3615.0,4789.0,4940
OPM %,29.0,17.0,15.0,20.0,26.0,25.0,27.0,24.0,26.0,29.0,25.0,19.0,18
Other Income,90.0,132.0,233.0,320.0,337.0,179.0,232.0,172.0,-862.0,130.0,-1089.0,352.0,373
Interest,336.0,438.0,705.0,962.0,1131.0,1058.0,848.0,899.0,955.0,776.0,628.0,818.0,892
Depreciation,384.0,427.0,585.0,720.0,916.0,1006.0,1132.0,1227.0,1304.0,1280.0,1334.0,1281.0,1324
Profit before tax,1698.0,630.0,275.0,740.0,1290.0,587.0,1401.0,1264.0,475.0,1552.0,564.0,3041.0,3098
Tax %,26.0,39.0,61.0,51.0,30.0,27.0,32.0,28.0,-148.0,16.0,19.0,29.0,
Net Profit,1255.0,387.0,108.0,363.0,902.0,430.0,952.0,904.0,1179.0,1296.0,459.0,2165.0,2253
EPS in Rs,26.51,8.19,2.23,7.61,18.73,8.92,19.61,18.7,24.43,26.86,9.45,44.06,45.28
