,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,27,33,33,33,33,33,33,33,36,36,36,36,36.0
Reserves,1125,1198,958,1389,1431,1514,1562,1613,2352,2277,2328,2560,2878.0
Preference Capital,11,7,0,0,0,0,0,0,0,0,0,0,
Borrowings,301,336,332,267,400,392,391,494,300,300,4725,4464,4839.0
Other Liabilities,561,642,614,518,292,283,349,418,2819,3111,637,1022,1186.0
Total Liabilities,2014,2209,1936,2207,2157,2222,2336,2559,5507,5724,7726,8082,8939.0
Fixed Assets,746,843,720,668,477,549,613,662,2738,3054,4687,4527,4986.0
CWIP,73,106,138,92,55,5,10,87,23,108,105,102,166.0
Investments,225,317,300,740,1067,1080,1023,883,1515,1487,1284,1110,1225.0
Other Assets,970,943,778,706,558,588,691,927,1230,1075,1651,2343,2562.0
Total Assets,2014,2209,1936,2207,2157,2222,2336,2559,5507,5724,7726,8082,8939.0
