,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1845.0,2132.0,2333.0,2284.0,1686.0,1812.0,2157.0,2630.0,3486.0,2593.0,4498.0,8242.0,10097
Expenses,1924.0,2128.0,2343.0,2196.0,1596.0,1679.0,1949.0,2390.0,2957.0,2479.0,3903.0,7128.0,8747
Operating Profit,-79.0,5.0,-10.0,88.0,90.0,134.0,208.0,241.0,529.0,114.0,595.0,1114.0,1350
OPM %,-4.0,0.0,-0.0,4.0,5.0,7.0,10.0,9.0,15.0,4.0,13.0,14.0,13
Other Income,98.0,58.0,91.0,208.0,86.0,81.0,27.0,30.0,147.0,199.0,152.0,341.0,364
Interest,22.0,29.0,26.0,22.0,48.0,46.0,44.0,51.0,263.0,261.0,325.0,409.0,371
Depreciation,41.0,45.0,54.0,75.0,39.0,41.0,46.0,52.0,247.0,257.0,311.0,494.0,548
Profit before tax,-44.0,-10.0,1.0,200.0,90.0,128.0,147.0,168.0,165.0,-205.0,111.0,552.0,795
Tax %,-7.0,-262.0,1357.0,35.0,39.0,34.0,41.0,44.0,36.0,12.0,69.0,29.0,
Net Profit,-46.0,-27.0,-19.0,129.0,55.0,85.0,87.0,95.0,106.0,-181.0,35.0,394.0,594
EPS in Rs,-1.39,-0.81,-0.56,3.89,1.66,2.55,2.62,2.92,3.46,-4.11,2.98,12.51,17.70
