,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,92,89,86,86,86,101,102,102,153,153,153,150,150.0
Reserves,4081,4557,5162,5775,5803,7214,9067,14613,19129,20734,24508,29694,28713.0
Preference Capital,0,0,0,0,0,82,0,0,0,0,0,0,
Borrowings,3389,4203,3349,3281,5258,6361,6638,29139,29388,24519,26746,23985,34936.0
Other Liabilities,2713,3487,4162,5143,5722,6536,7148,18581,19758,23359,29196,32286,27656.0
Total Liabilities,10275,12336,12759,14284,16869,20212,22955,62435,68428,68765,80603,86115,91455.0
Fixed Assets,3223,3489,3821,4031,3862,4071,4437,32149,35321,34765,36193,38713,40438.0
CWIP,306,378,228,583,484,792,1319,1855,2073,2117,2501,2818,1314.0
Investments,795,1025,737,764,335,378,1034,708,558,618,1922,1624,1840.0
Other Assets,5952,7444,7973,8906,12188,14971,16165,27723,30476,31265,39987,42960,47863.0
Total Assets,10275,12336,12759,14284,16869,20212,22955,62435,68428,68765,80603,86115,91455.0
