,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7671.0,9186.0,10771.0,12091.0,14048.0,16312.0,17378.0,21837.0,35756.0,38694.0,46240.0,53576.0,49381
Expenses,6321.0,7531.0,8753.0,9728.0,11700.0,13346.0,13966.0,18024.0,28984.0,30342.0,36711.0,43380.0,41438
Operating Profit,1351.0,1654.0,2018.0,2363.0,2348.0,2966.0,3412.0,3813.0,6772.0,8352.0,9529.0,10196.0,7943
OPM %,18.0,18.0,19.0,20.0,17.0,18.0,20.0,17.0,19.0,22.0,21.0,19.0,16
Other Income,85.0,72.0,30.0,-11.0,149.0,363.0,351.0,-197.0,-515.0,62.0,91.0,464.0,507
Interest,415.0,429.0,485.0,517.0,704.0,735.0,783.0,963.0,1481.0,2060.0,2295.0,2963.0,3371
Depreciation,292.0,354.0,407.0,425.0,676.0,672.0,675.0,880.0,2012.0,2173.0,2359.0,2547.0,2644
Profit before tax,729.0,944.0,1157.0,1410.0,1117.0,1922.0,2305.0,1773.0,2764.0,4181.0,4966.0,5150.0,2435
Tax %,18.0,22.0,19.0,17.0,15.0,10.0,12.0,11.0,21.0,16.0,11.0,14.0,
Net Profit,561.0,773.0,957.0,1187.0,952.0,1733.0,2030.0,1575.0,2178.0,3495.0,4437.0,4414.0,2249
EPS in Rs,8.02,11.67,14.77,17.79,14.62,22.71,26.51,19.52,23.24,37.58,47.46,47.56,24.72
