,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,274,274,274,274,274,275,275,275,289,289,289,289,289
Reserves,12550,14955,16908,18767,21671,24117,26107,33476,38755,43886,50147,54036,55858
Borrowings,5891,7342,7332,9829,10616,8474,19480,25337,23019,21719,11299,11058,11459
Other Liabilities,6181,7010,7671,9183,8631,9343,11280,17438,17151,20282,22077,25998,26385
Total Liabilities,24896,29582,32185,38053,41193,42209,57141,76525,79214,86176,83811,91380,93991
Fixed Assets,13314,15050,18100,23343,25309,25904,39715,56645,57151,55412,55488,59579,60768
CWIP,1940,3601,2186,2250,1469,921,1511,1153,920,1687,4785,4040,5306
Investments,3547,4709,4862,4500,5095,6691,5447,2921,5929,12178,6336,7297,6341
Other Assets,6095,6222,7037,7961,9319,8693,10468,15806,15215,16900,17203,20464,21576
Total Assets,24896,29582,32185,38053,41193,42209,57141,76525,79214,86176,83811,91380,93991
