,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,18551.0,20514.0,20730.0,23306.0,25153.0,25375.0,30979.0,41462.0,42430.0,44726.0,52599.0,63240.0,67933
Expenses,14357.0,15674.0,16695.0,18881.0,20252.0,20162.0,24834.0,34115.0,33184.0,33158.0,41084.0,52620.0,56674
Operating Profit,4194.0,4839.0,4035.0,4425.0,4901.0,5212.0,6145.0,7347.0,9246.0,11568.0,11514.0,10620.0,11258
OPM %,23.0,24.0,19.0,19.0,19.0,21.0,20.0,18.0,22.0,26.0,22.0,17.0,17
Other Income,371.0,304.0,322.0,350.0,464.0,648.0,242.0,350.0,651.0,619.0,669.0,507.0,601
Interest,256.0,252.0,361.0,587.0,566.0,640.0,1238.0,1778.0,1992.0,1486.0,945.0,823.0,851
Depreciation,963.0,1023.0,1139.0,1203.0,1377.0,1348.0,1848.0,2451.0,2723.0,2700.0,2715.0,2888.0,3032
Profit before tax,3345.0,3867.0,2858.0,2986.0,3421.0,3872.0,3301.0,3468.0,5183.0,8001.0,8524.0,7416.0,7976
Tax %,28.0,30.0,23.0,30.0,28.0,30.0,33.0,31.0,-11.0,32.0,14.0,32.0,
Net Profit,2397.0,2688.0,2213.0,2102.0,2480.0,2714.0,2224.0,2400.0,5751.0,5462.0,7334.0,5073.0,5703
EPS in Rs,87.69,97.66,80.44,76.47,90.3,98.9,80.92,87.51,199.4,189.26,254.42,175.41,197.25
