,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,87,87,296,296,296,297,372,372,372,372,372,372,372.0
Reserves,15031,17388,72712,53579,43743,60128,62940,61925,54263,61906,65011,39051,31211.0
Preference Capital,0,0,0,0,0,0,0,0,2,2,0,0,
Borrowings,3741,4839,80566,77752,67778,71569,58159,66226,59185,57667,53583,66628,75064.0
Other Liabilities,1542,723,60545,58654,80163,64952,58896,70045,66917,63551,74981,84383,86925.0
Total Liabilities,20401,23037,214120,190281,191980,196946,180367,198568,180737,183496,193947,190434,193572.0
Fixed Assets,3307,4136,87205,70108,61591,75631,78455,86327,86127,88002,89498,90322,99274.0
CWIP,837,723,43128,38748,38461,27557,32055,24959,18585,16314,15879,19690,19636.0
Investments,14167,16059,37910,39606,53386,46962,28700,33065,24753,16660,17291,13150,12855.0
Other Assets,2090,2119,45877,41819,38542,46796,41157,54217,51272,62520,71279,67272,61807.0
Total Assets,20401,23037,214120,190281,191980,196946,180367,198568,180737,183496,193947,190434,193572.0
