,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,33,33,33,33,33,33,33,33,33,33,33,33,33
Reserves,1445,1593,1786,2069,2778,3274,3872,4077,4247,4960,5466,5419,5681
Borrowings,225,262,264,122,271,171,142,315,219,261,361,651,555
Other Liabilities,2454,2676,2660,2662,2788,2991,3249,3091,3657,3402,3874,4171,3740
Total Liabilities,4157,4564,4744,4886,5869,6469,7296,7515,8156,8655,9734,10274,10010
Fixed Assets,289,300,288,269,276,300,297,343,380,388,384,525,527
CWIP,5,0,2,4,1,1,4,16,26,9,59,98,150
Investments,312,407,732,1094,1975,2268,2754,2386,2343,3046,3615,3109,3182
Other Assets,3551,3857,3721,3519,3617,3901,4242,4771,5406,5212,5676,6542,6150
Total Assets,4157,4564,4744,4886,5869,6469,7296,7515,8156,8655,9734,10274,10010
