,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5186.0,5531.0,5266.0,5183.0,5720.0,6033.0,6404.0,7124.0,7658.0,7556.0,7934.0,9499.0,10615
Expenses,5021.0,5293.0,5000.0,4773.0,5376.0,5484.0,5742.0,6564.0,7040.0,6975.0,7362.0,9045.0,10190
Operating Profit,165.0,238.0,266.0,411.0,344.0,549.0,663.0,560.0,618.0,580.0,572.0,454.0,425
OPM %,3.0,4.0,5.0,8.0,6.0,9.0,10.0,8.0,8.0,8.0,7.0,5.0,4
Other Income,120.0,102.0,121.0,154.0,261.0,212.0,178.0,174.0,179.0,189.0,188.0,-77.0,81
Interest,31.0,33.0,23.0,23.0,16.0,16.0,12.0,33.0,21.0,26.0,26.0,30.0,40
Depreciation,34.0,28.0,25.0,28.0,26.0,24.0,24.0,24.0,32.0,34.0,37.0,40.0,44
Profit before tax,219.0,280.0,340.0,514.0,563.0,720.0,805.0,677.0,744.0,709.0,697.0,307.0,421
Tax %,26.0,26.0,28.0,25.0,30.0,28.0,28.0,24.0,30.0,25.0,27.0,56.0,
Net Profit,162.0,207.0,246.0,388.0,393.0,520.0,578.0,514.0,521.0,529.0,506.0,136.0,198
EPS in Rs,4.9,6.28,7.42,11.62,11.7,15.64,17.3,15.35,15.63,15.87,15.23,4.08,6.03
