,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,492,492,493,494,494,486,905,1207,1143,1096,1096,1098,1044
Reserves,26526,26072,31636,36598,45651,51184,47022,55216,54179,53805,64307,76570,68394
Borrowings,5896,6381,5159,7891,12522,14241,13901,9947,9724,10451,17593,17467,17918
Other Liabilities,10318,10675,12245,13367,12924,12761,13563,16217,15954,17213,24280,21789,20824
Total Liabilities,43231,43621,49533,58350,71590,78672,75391,82586,81000,82566,107276,116924,108180
Fixed Assets,12436,9996,10649,10837,17279,19886,18127,17465,22062,23040,37990,44757,43600
CWIP,347,407,369,395,381,738,1378,2142,1881,1853,1602,617,722
Investments,4472,6765,6146,5532,20915,29913,25797,22887,20032,18775,26154,33073,26224
Other Assets,25977,26454,32368,41586,33016,28135,30090,40093,37024,38898,41531,38477,37634
Total Assets,43231,43621,49533,58350,71590,78672,75391,82586,81000,82566,107276,116924,108180
