,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,37188.0,37430.0,43424.0,46951.0,51244.0,55448.0,54487.0,59019.0,61138.0,61935.0,79312.0,90488.0,91766
Expenses,30156.0,29773.0,33788.0,36652.0,40448.0,44128.0,44100.0,47406.0,48795.0,47164.0,62628.0,73640.0,74540
Operating Profit,7032.0,7657.0,9635.0,10299.0,10796.0,11321.0,10387.0,11613.0,12342.0,14771.0,16684.0,16848.0,17226
OPM %,19.0,20.0,22.0,22.0,21.0,20.0,19.0,20.0,20.0,24.0,21.0,19.0,19
Other Income,1268.0,1440.0,1922.0,2450.0,2752.0,2623.0,2550.0,2614.0,2728.0,2404.0,2067.0,2266.0,2667
Interest,344.0,289.0,383.0,350.0,558.0,594.0,583.0,738.0,733.0,509.0,532.0,1008.0,1188
Depreciation,975.0,940.0,1060.0,1175.0,1496.0,2310.0,2112.0,1947.0,2086.0,2763.0,3078.0,3340.0,3404
Profit before tax,6981.0,7869.0,10114.0,11224.0,11494.0,11039.0,10242.0,11542.0,12252.0,13903.0,15141.0,14766.0,15300
Tax %,20.0,21.0,21.0,22.0,22.0,23.0,22.0,22.0,20.0,22.0,19.0,23.0,
Net Profit,5630.0,6182.0,7991.0,8714.0,8957.0,8518.0,8003.0,9018.0,9772.0,10868.0,12243.0,11366.0,11712
EPS in Rs,8.55,9.36,12.08,13.15,13.52,13.1,13.27,14.92,17.02,19.7,22.31,20.68,21.46
