,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,764,836,845.0
Reserves,1036,2356,457,7644,15741,18623,18897.0
Preference Capital,174,244,252,455,0,0,
Borrowings,12,104,73,72,70,507,521.0
Other Liabilities,327,953,2370,987,751,1632,1845.0
Total Liabilities,1374,3413,2900,8704,17327,21599,22108.0
Fixed Assets,190,389,1591,1539,1404,6343,6271.0
CWIP,1,1,1,0,1,8,12.0
Investments,829,2145,324,2205,4718,6765,10719.0
Other Assets,354,879,985,4959,11204,8484,5106.0
Total Assets,1374,3413,2900,8704,17327,21599,22108.0
