,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,466.0,1313.0,2605.0,1994.0,4192.0,7079.0,9268
Expenses,558.0,3556.0,4909.0,2461.0,6043.0,8290.0,9955
Operating Profit,-92.0,-2243.0,-2305.0,-467.0,-1851.0,-1211.0,-687
OPM %,-20.0,-171.0,-88.0,-23.0,-44.0,-17.0,-7
Other Income,21.0,1285.0,16.0,-200.0,793.0,682.0,737
Interest,6.0,9.0,13.0,10.0,12.0,49.0,65
Depreciation,29.0,43.0,84.0,138.0,150.0,437.0,547
Profit before tax,-107.0,-1010.0,-2386.0,-815.0,-1220.0,-1015.0,-562
Tax %,0.0,0.0,0.0,-0.0,-0.0,4.0,
Net Profit,-107.0,-1010.0,-2386.0,-816.0,-1222.0,-971.0,-497
EPS in Rs,-3070.18,-28574.18,-70096.54,-23123.76,-1.54,-1.14,-0.59
